gen,description,te_class_suzukii
vmat,Vesicular monoamine,LTR
cg13332,,LTR
nadk1a,NAD kinase,LTR
nadk1b,NAD kinase,DNA/RC
roe1,,DNA/RC
link,,DNA/RC
cg13334,,DNA
fand,,LINE/CR1
s-lap5,Sperm-Leucylaminopeptidase,LINE/CR1
cg34236,,LINE/CR1
cg6209,,DNA/RC
lncrna:cr45031,long non-coding,DNA/RC
lncrna:cr45032,long non-coding,DNA/RC
cpr50ca,Cuticular protein,LTR/Gypsy
s-lap7,Sperm-Leucylaminopeptidase,LTR/Gypsy
lncrna:cr43810,long non-coding,DNA/RC
lncrna:cr43811,long non-coding,DNA/RC
cpr50cb,Cuticular protein,DNA/RC
stj,,DNA/RC
fl(2)d,female lethal,DNA/RC
cg6329,,DNA
cg6337,,DNA/RC
ctsl2,Cathepsin,DNA/RC
cg6357,,LTR/Gypsy
syngr,,DNA
cg30485,,DNA/RC
echs1,Enoyl-CoA hydratase%2C short chain,DNA/RC
cg6553,,DNA/RC
asrna:cr44367,antisense,DNA/RC
tum,,LTR
uba3,Ubiquitin-like activating enzyme,LTR
cg16935,,LTR
cg13344,,LTR
ago1,,DNA/RC
mrpl53,mitochondrial ribosomal protein,DNA/PIFHARBINGER
cg33155,dicistronic,DNA/PIFHARBINGER
rpn13,Regulatory particle non-ATPase,DNA/PIFHARBINGER
ttc7,Tetratricopeptide repeat domain,DNA/RC
trna:arg-acg-1-5,,DNA/RC
trna:arg-acg-1-1,,DNA/RC
trna:lys-ctt-1-1,,LTR/Gypsy
ars2,Arsenic resistance protein,DNA
smyda-5,SET and MYND domain containing%2C arthropod-specific%2C member,DNA
cg7849,,LTR/COPIA
ccha2-r,CCHamide-2,DNA/RC
sei,,DNA/RC
src42a,Src oncogene at,DNA
rhogef3,Rho guanine nucleotide exchange factor,LTR/Gypsy
ttm2,tiny tim,LTR/Gypsy
miple2,midkine and pleiotrophin,LTR/Gypsy
miple1,midkine and pleiotrophin,LTR/Gypsy
mrpl17,mitochondrial ribosomal protein,DNA/RC
lncrna:cr42862,,LINE
cg33229,,LINE
pyx,,LINE
dis3l2,Dis3 like 3'-5' exoribonuclease,LINE
dic61b,Dynein intermediate chain at,LINE
cg6845,,LINE
mthl10,methuselah-like,DNA/RC
mth,,DNA/RC
ptpmeg,Protein tyrosine phosphatase,DNA/RC
trh,,DNA
klar,,DNA
sncrna:438,,DNA
cg34267,,LINE
lncrna:cr46002,long non-coding,LINE
hipk,Homeodomain interacting protein,DNA
lncrna:cr43334,long non-coding,LINE
lncrna:cr43423,long non-coding,LINE
mir-ban,,LINE
gale,UDP-galactose,DNA
cg3402,,DNA
med30,Mediator complex subunit,DNA
rev1,DNA polymerase,DNA
cg13907,,LTR/Gypsy
snorna:cg32479-a,,LTR/Gypsy
cg34056,,LTR/Gypsy
cg34057,,LTR/Gypsy
lncrna:cr46200,long non-coding,DNA
mat,,DNA
nerfin-1,nervous fingers,DNA
trio,,DNA
cg9205,,DNA
cg9166,,DNA
ru,,DNA
trna:glu-ctc-3-4,,DNA
trna:glu-ctc-3-7,,DNA
cg32320,,DNA
trna:glu-ctc-3-8,,DNA
trna:glu-ctc-3-9,,DNA
tmep,Transmembrane endosomal,DNA
cg13917,,DNA
cg12104,,DNA/RC
cg18170,dicistronic,DNA/RC
cg33791,dicistronic,DNA/RC
cg12105,,DNA/RC
cg13926,,DNA/RC
asrna:cr45814,antisense,DNA/RC
cg33230,,DNA/RC
abcb7,ATP binding cassette subfamily B member,DNA/RC
cg7991,,DNA
cg18171,,DNA
cg12035,,DNA
cg13924,,DNA
dre4,,DNA
cg13937,,DNA
aprt,Adenine,DNA
tmhs,Tetraspan membrane protein in hair cell,DNA
cg42841,,LTR/Gypsy
lncrna:cr44535,long non-coding,LTR/Gypsy
grl62a,Gustatory receptor-like,DNA
grl62b,Gustatory receptor-like,DNA
cg5707,,LINE
cg8960,,LINE
cg15878,,DNA
msr2,Myosuppressin receptor,DNA/RC
msr1,Myosuppressin receptor,DNA
cg1317,,LTR/Gypsy
cg8993,,LTR/Gypsy
mrpl23,mitochondrial ribosomal protein,LTR/Gypsy
cg9004,,LTR/Gypsy
cg15877,,LTR/Gypsy
spn,,DNA/RC
lncrna:cr45981,long non-coding,LTR/COPIA
lncrna:cr45982,long non-coding,LTR/COPIA
lncrna:cr45660,long non-coding,LTR/COPIA
mep-1,dicistronic,LTR/COPIA
cg42245,dicistronic,LTR/COPIA
fmrfar,FMRFamide,DNA
cg32488,,DNA
cg32487,,DNA
aly,always,DNA/RC
psn,,DNA/RC
mrpl15,mitochondrial ribosomal protein,DNA/RC
cg32425,,DNA
cg17637,,DNA
cg18281,,DNA
cg5078,,DNA
rcd2,Reduction in Cnn dots,DNA/RC
cg13250,,DNA/RC
lncrna:ts3,long noncoding RNA: testis-specific,DNA/RC
lncrna:cr46326,long non-coding,DNA/RC
kni,,DNA/RC
cg11456,,LTR/COPIA
cg32432,,LTR/COPIA
chb,chromosome,DNA
cg42337,,DNA
asrna:cr45951,antisense,DNA
park,,DNA
targ3,Terminal ADP-ribose protein glycohydrolase,DNA
targ1,Terminal ADP-ribose protein glycohydrolase,DNA
trmt112,tRNA methyltransferase subunit,DNA/MAVERICK
pzg,,DNA
cpr78ca,Cuticular protein,DNA
cg8519,,DNA
sp1173,,DNA
lncrna:cr45239,long non-coding,DNA
lncrna:cr45238,long non-coding,DNA
mcu,Mitochondrial calcium,DNA
jv,,DNA
sfl,,DNA
lncrna:cr46500,long non-coding,DNA
cg43168,,DNA/MAVERICK
lncrna:cr44522,long non-coding,DNA/MAVERICK
cpr65ay,Cuticular protein,LTR/COPIA
cg13297,,LTR/COPIA
lncrna:cr45421,long non-coding,LTR/COPIA
acp65aa,Adult cuticle protein,LTR/COPIA
lcp65aa,,LTR/COPIA
cpr65ax1,Cuticular protein,LTR/COPIA
lcp65ab2,,LTR/COPIA
lcp65ab1,,LTR/COPIA
lcp65ac,,LTR/COPIA
lcp65ad,,LTR/COPIA
cpr65aw,Cuticular protein,DNA/RC
cpr65av,Cuticular protein,DNA/RC
cpr65ax2,Cuticular protein,DNA/RC
lcp65af,,DNA/RC
lcp65ae,,DNA/RC
lcp65ag1,,DNA/RC
lcp65ag2,,DNA/RC
cpr65au,Cuticular protein,DNA/RC
asrna:cr46005,,DNA/RC
lcp65ag3,Larval cuticle,DNA/RC
l(3)mbn,lethal (3) malignant blood,DNA/RC
cg10467,,LINE
cg10469,,LINE
cg13293,,LINE
ssp6,short spindle,LINE
cg6610,,LINE
cg13295,,LINE
cg42269,,DNA/RC
cg10472,,DNA/RC
cg6592,,DNA/RC
lncrna:cr45441,long non-coding,DNA/RC
tant,,DNA/RC
jon65ai,Jonah,DNA/RC
lncrna:cr45440,long non-coding,LINE/I
lncrna:cr45439,long non-coding,LINE/I
rh7,Rhodopsin,DNA/P
cah2,Carbonic anhydrase,DNA/P
miox,Myo-inositol,DNA/P
est-6,Esterase,DNA/P
thoc6,,DNA/RC
app,,LTR
ctps,CTP,LTR
cg45071,,LTR
asrna:cr43971,antisense,LTR
lncrna:cr43973,long non-coding,LTR
sytbeta,Synaptotagmin,LINE/I
cg32148,,LINE/I
reck,Reversion-inducing-cysteine-rich protein with kazal,DNA
lncrna:cr45398,long non-coding,DNA
lncrna:cr44702,long non-coding,DNA
cg17177,,DNA
cg13474,,DNA
dnaaf6,Dynein axonemal assembly factor,DNA
gbs-70e,Glycogen binding subunit,LTR/COPIA
nuf,nuclear,LINE/CR1
cg7768,,LINE/CR1
sox21b,,DNA
sox21a,,DNA
fbp1,Fat body protein,DNA/MITE
cg8100,,DNA/MITE
btl,,DNA/RC
pex1,Peroxin,DNA/RC
frl,,DNA/RC
hsp110,Heat shock protein,DNA/MAVERICK
cg8745,,DNA
mir-289,mir-289 stem,DNA
lncrna:cr45178,long non-coding,DNA
lncrna:cr45825,long non-coding,DNA
lncrna:cr43874,long non-coding,DNA
lncrna:cr45436,long non-coding,DNA/RC
lncrna:cr44563,long non-coding,DNA
lncrna:cr44564,long non-coding,DNA
cg6479,,DNA
trna:pro-cgg-2-2,,DNA
trna:cys-gca-1-2,,DNA
cg13727,,DNA
brv2,,DNA
mip,Myoinhibiting peptide,DNA
lncrna:cr44565,long non-coding,DNA
cpr67fa2,Cuticular protein,DNA
cpr67fa1,Cuticular protein,DNA
oxa1l,OXA1L mitochondrial inner membrane,DNA
galla-2,,DNA
cg6409,,DNA
nija,Ninjurin,DNA/P
nd-13b,NADH dehydrogenase (ubiquinone) 13 kDa B,DNA/P
cg33493,,DNA/P
cg11811,,DNA/P
simj,,DNA/RC
adi1,Acireductone dioxygenase,DNA/RC
cg8003,,DNA/RC
cg32066,,DNA/RC
cg43127,dicistronic,LINE/I
cg6527,,DNA
cg46430,,DNA
s-lap3,Sperm-Leucylaminopeptidase,DNA
gem3,Gemin,LTR/COPIA
lncrna:cr46006,long non-coding,DNA/RC
dpr10,defective proboscis extension response,DNA/RC
cg8072,,DNA
cg42826,,DNA
lncrna:cr45155,long non-coding,LINE
lncrna:cr45877,long non-coding,DNA/RC
lncrna:cr45876,long non-coding,DNA/RC
vnc,variable nurse,DNA/RC
cg42455,dicistronic,DNA/RC
cg6674,,DNA/RC
dronc,Death regulator Nedd2-like,DNA
cg6685,,DNA
cg43897,,DNA
ae2,Anion exchanger,DNA
lncrna:cr45407,long non-coding,DNA
cg42268,,DNA
cnmar,CNMamide,DNA/RC
jarid2,Jumonji%2C AT rich interactive domain,DNA/MAVERICK
uch-l5,Ubiquitin carboxy-terminal hydrolase,DNA/MAVERICK
cg44838,,DNA/MAVERICK
slc45-1,Solute carrier family 45 member,DNA
argk1,Arginine kinase,LINE/I
tsp66e,Tetraspanin,LTR
dally,division abnormally,DNA
lncrna:cr45823,long non-coding,DNA
lncrna:cr44526,long non-coding,DNA
cg6282,,LTR/Gypsy
cg5989,,LTR/Gypsy
rpl14,Ribosomal protein,LTR/Gypsy
snorna:u49:66da,,LTR/Gypsy
nelf-e,Negative elongation factor,LTR/Gypsy
cg43078,,LTR/Gypsy
foi,,LTR
gsto1,Glutathione S transferase,LTR
gsto2,Glutathione S transferase,LTR
se,,LTR
gsto3,Glutathione S transferase,LTR
exo70,Exocyst,LTR
mtrm,,LTR
idh,Isocitrate,LINE
culd,CUB and LDLa,LINE
cg34461,,DNA/RC
cg13670,,DNA/RC
cpsf6,Cleavage and polyadenylation specific factor,DNA/RC
lncrna:cr45409,long non-coding,DNA/RC
bi-1,Bax,LTR
gr66a,Gustatory receptor,LTR
cg7194,,LTR
cg13671,,LTR
arl5,ADP-ribosylation factor-like,LTR
rab19,,LTR
cg7201,,LTR
cert,ceramide transfer,LTR
cg13678,,DNA/RC
cg13674,,DNA
mus301,mutagen-sensitive,LTR/Gypsy
setx,,LTR/Gypsy
cds,CDP-diacylglycerol,LTR/Gypsy
uba2,Ubiquitin-like activating enzyme,LTR/Gypsy
mrpl36,mitochondrial ribosomal protein,LTR/Gypsy
sarm,Sterile alpha and Armadillo,DNA
cg7565,,DNA
lncrna:cr43974,long non-coding,DNA
vps36,Vacuolar protein sorting,LINE/CR1
spt20,,LINE/CR1
tgi,Tondu-domain-containing Growth,LINE/CR1
cg4835,,DNA
dip-delta,Dpr-interacting protein,LTR/Gypsy
ir64a,Ionotropic receptor,DNA
lncrna:cr45743,long non-coding,DNA
lama,lamina,DNA/RC
cg46456,dicistronic,DNA/RC
lncrna:cr45742,long non-coding,DNA
shep,alan,DNA
lncrna:cr46198,long non-coding,DNA/RC
cg7509,,DNA
lncrna:cr44528,long non-coding,DNA
lncrna:cr45740,long non-coding,DNA
lncrna:cr45821,long non-coding,DNA
cg13712,,LINE/I
lncrna:cr43879,long non-coding,LINE/I
cg13713,,LINE/L2
cg15876,,LINE/L2
cg18418,,LINE/L2
axo,,DNA/RC
cg32236,,DNA/RC
asrna:cr45830,antisense,DNA
cg13716,,DNA/RC
mnm,myomesin and myosin binding,DNA
girdin,,DNA
cg42494,,DNA
cg14958,,DNA
cg14965,,DNA
hsp83,Heat shock protein,DNA
lncrna:cr45424,long non-coding,LINE/I
cg43389,,LINE/I
lncrna:cr43626,long non-coding,LINE/I
mir-282,mir-282 stem,LINE/I
cg14968,,DNA/RC
znt63c,Zinc transporter,DNA/RC
kst,,DNA/RC
eif5b,eukaryotic translation initiation factor,LTR/COPIA
impe2,Ecdysone-inducible gene,LTR
lncrna:cr45820,long non-coding,DNA
cg32264,,LINE/I
ppk27,pickpocket,DNA
cg32266,,DNA
mge,,DNA
eip63f-1,Ecdysone-induced protein 63F,DNA
gr64c,Gustatory receptor,DNA/P
gr64b,Gustatory receptor,DNA/P
gr64d,Gustatory receptor,DNA/P
gr64e,Gustatory receptor,DNA/P
asrna:cr45042,antisense,DNA/P
gr64f,Gustatory receptor,DNA/P
cg11593,,DNA/P
rcd5,Reduction in Cnn dots,DNA/P
dpy-30l2,Dpy-30-like,DNA/P
cg32260,,DNA
cg1299,,DNA
nab,,DNA
cg43367,,DNA
cg15005,,DNA
cpr64aa,Cuticular protein,DNA
cpr64ab,Cuticular protein,DNA
cpr64ac,Cuticular protein,DNA
cpr64ad,Cuticular protein,DNA
cg1273,,DNA
ctl1,Choline transporter-like,DNA
cg11583,,DNA
srw,,DNA
cg1316,,DNA/RC
tfiiebeta,Transcription factor,DNA/RC
hexo1,Hexosaminidase,DNA/RC
cg15012,,DNA/RC
fdx2,Ferredoxin,DNA/RC
tp53inp,Tumor protein p53 inducible nuclear,DNA/RC
cg15020,,DNA/RC
nachrbeta1,nicotinic Acetylcholine Receptor,DNA/RC
cg32249,,LINE
cg32248,,LTR
cg11349,,LTR
cg7465,,LTR
cg11350,,LTR
tie,Tie-like receptor tyrosine,LTR/Gypsy
cg11357,,DNA/RC
cg42540,,DNA/RC
src64b,Src oncogene at,DNA/MAVERICK
cg32246,,DNA
las,Lipoic acid,DNA
cg5262,,DNA
cg5274,,DNA
cg5282,,DNA
zye,,DNA
sccro4,Squamous cell carcinoma-related oncogene,DNA
cg32225,,DNA
pex23,Peroxin,DNA
asrna:cr43872,antisense,DNA
msr-110,,DNA
asrna:cr45832,antisense,LTR
cg8641,,DNA
cg14823,,DNA
corn,,DNA
cg8620,,DNA
dscam2,Down syndrome cell adhesion molecule,DNA
cg14826,,DNA/RC
cg14829,,DNA/RC
bhd,,DNA/RC
rpl18,Ribosomal protein,DNA/RC
neos,,DNA/RC
mrpl50,mitochondrial ribosomal protein,DNA/RC
rac2,,DNA
cg8541,,DNA
cg14837,,DNA/P
frac,faulty,DNA/P
mmm,missing minor,LINE/CR1
t-grip84,testis-specific gamma-tubulin ring protein,LINE/CR1
mcad,Medium-chain acyl-CoA,LTR
cg7457,,LTR
cg8492,,LTR
snmp2,Sensory neuron membrane protein,LTR
cg13685,,DNA
cg7409,,DNA
pdp1,PAR-domain protein,DNA/MAVERICK
exex,,DNA/RC
rnasex25,Ribonuclease,DNA
cg3764,,DNA/MITE
exn,,DNA/MITE
lmpt,,DNA/MITE
cg32170,,DNA/RC
cg9951,,DNA/RC
cg13024,,LINE
nudc,,LINE
lncrna:cr46214,long non-coding,DNA
galphaf,G protein alpha subunit,DNA/RC
baldspot,,DNA/RC
snrna:u12,,DNA/RC
apl,,LINE/CR1
spd-2,spindle defective,LINE/CR1
tra,,LINE/CR1
l(3)73ah,lethal (3),LINE/CR1
aos,,LINE/I
serinc,Serine,LTR
fax,failed axon,LTR
cg4962,,LTR/Gypsy
cg13045,,LTR/Gypsy
cg13046,,LTR/Gypsy
cg13047,,LTR/Gypsy
cg13048,,LTR/Gypsy
cg13049,,LTR/Gypsy
cg13064,,LTR/Gypsy
cg13050,,LTR/Gypsy
cg13065,,LTR/Gypsy
cg13066,,DNA
cg13067,,DNA
cg34248,,DNA
cg13068,,DNA
cg4950,,DNA
cg34247,,DNA
cg13053,,DNA
cg13054,,DNA
cg13055,,DNA
cg33795,,DNA/MAVERICK
cg33796,,DNA/MAVERICK
cg5151,dicistronic,DNA/RC
pgm1,Phosphoglucose mutase,DNA
strump,,DNA
taf4,TBP-associated factor,DNA
ilers-m,Isoleucyl-tRNA synthetase%2C,DNA
ints9,Integrator,DNA
zn72d,Zinc-finger protein at,DNA/RC
atpsynbetal,ATP synthase%2C beta,DNA/RC
cg13074,,DNA/RC
clc-c,Chloride,DNA/RC
cg14130,,LINE/I
cg5897,,LTR/Gypsy
snorna:or-aca8,snoRNA:Orphan H/ACA box,LTR/Gypsy
lncrna:cr43624,long non-coding,LTR/Gypsy
sdhal,Succinate dehydrogenase%2C subunit A,LINE/I
mir-285,mir-285 stem,DNA/RC
cg7252,,DNA/RC
cg17826,,DNA/RC
obst-g,,DNA/RC
cg7248,,DNA/RC
prc,,DNA/RC
cg43896,,LTR/Gypsy
rols,rolling,DNA
sema5c,Semaphorin,LTR/COPIA
pole2,DNA polymerase epsilon subunit,DNA/RC
vn,,DNA/MITE
mad2,,DNA
kri,,DNA
s6k,Ribosomal protein S6,DNA
cg42272,,DNA
sif,still,LTR/Gypsy
cg46320,,LTR/Gypsy
sse,,LTR
lin-28,,LTR
blimp-1,,LTR
cg42674,,DNA
ssk,,DNA
lncrna:cr45942,long non-coding,DNA/RC
cg7328,,LINE/CR1
lamtor1,Late endosomal/lysosomal adaptor%2C MAPK and MTOR activator,DNA
cg14183,,DNA
kug,,DNA
tom20,Translocase of outer membrane,LTR/Gypsy
gabat,gamma-aminobutyric acid,LTR/Gypsy
nca,,DNA/PIFHARBINGER
cg7646,,DNA/PIFHARBINGER
fln,,DNA/PIFHARBINGER
asrna:cr45161,antisense,DNA/PIFHARBINGER
hale,,DNA/PIFHARBINGER
ac76e,Adenylyl cyclase,DNA
cg42263,,DNA
cg10171,,LINE
cg14110,,LINE
impl1,Ecdysone-inducible gene,LINE
cg14107,,LINE
cg14111,,DNA
asrna:cr45886,antisense,DNA
sncf,SoxNeuro,DNA
lncrna:cr44558,long non-coding,DNA
lncrna:cr44555,long non-coding,DNA/RC
lncrna:cr43911,long non-coding,DNA/RC
lncrna:cr45254,long non-coding,DNA/RC
lncrna:cr45255,long non-coding,DNA/RC
lncrna:cr45253,long non-coding,DNA/RC
lncrna:cr43912,long non-coding,DNA/RC
lncrna:cr45753,long non-coding,DNA/RC
lncrna:cr45752,long non-coding,DNA
lncrna:cr43913,long non-coding,DNA
lncrna:cr43146,long non-coding,DNA
caps,,DNA
lncrna:cr45098,long non-coding,DNA
lncrna:cr43914,long non-coding,DNA
lncrna:cr45097,long non-coding,DNA
trna:leu-caa-2-2,,DNA
trna:pro-agg-1-2,,DNA
trna:pro-agg-1-6,,DNA
trna:pro-agg-1-7,,DNA
lncrna:cr45096,long non-coding,LINE/I
snky,,DNA
trn,,LINE/I
cg11251,,DNA/RC
lncrna:cr45749,long non-coding,DNA/RC
lncrna:cr43652,long non-coding,DNA/RC
cg34429,,DNA/RC
cg34428,,DNA/RC
cg14115,,DNA/RC
cg11279,,DNA/RC
cg14118,,DNA
cg43894,,DNA
lncrna:cr45748,long non-coding,DNA
cg13360,,DNA
tw,,DNA
dic4,Dicarboxylate carrier,DNA
lncrna:cr43987,long non-coding,DNA
cyp12c1,Cytochrome P450,LINE/I
chmp1,Charged multivesicular body protein,DNA
sgf11,SAGA associated factor,DNA
gnbp1,Gram-negative bacteria binding protein,DNA
gnbp2,Gram-negative bacteria binding protein,LINE/I
capr,,LINE/I
mypt-75d,Myosin phosphatase targeting subunit,LINE/I
bora,aurora,DNA/RC
not,,DNA/RC
cg32199,,DNA/RC
cg18231,,DNA/PIFHARBINGER
astc-r1,Allatostatin C receptor,LINE/I
rpr,,DNA
lncrna:cr46353,long non-coding,LTR
grim,,LINE
asrna:cr45974,antisense,LINE
lncrna:cr45975,long non-coding,LINE
lncrna:cr43306,long non-coding,LINE
cg5103,,LINE
chea75a,Chemosensory protein A,DNA
lncrna:cr45937,long non-coding,DNA
lncrna:cr45935,long non-coding,DNA
cg13699,,DNA/RC
cg7330,,DNA
geko,,DNA
lncrna:cr43253,long non-coding,DNA
lncrna:cr45392,long non-coding,DNA
cg44005,,DNA
lncrna:cr43174,long non-coding,DNA/PIFHARBINGER
tsp74f,Tetraspanin,DNA/RC
cg7402,,DNA/RC
lncrna:cr44668,long non-coding,DNA/RC
adgf-a2,Adenosine deaminase-related growth factor,DNA
adgf-a,Adenosine deaminase-related growth factor,DNA
cg32181,,DNA
cg32182,,DNA
adgf-b,Adenosine deaminase-related growth factor,DNA
cg34251,,DNA
pep,Protein on ecdysone,DNA/RC
cg7497,,DNA/RC
lncrna:cr44566,long non-coding,DNA/RC
anchor,,DNA/RC
vps60,Vacuolar protein sorting,LINE/L2
eip74ef,Ecdysone-induced protein,LINE/L2
cyct,Cyclin,DNA/RC
cg7542,,DNA/RC
cg6333,,LTR
cg34250,,LTR
uqcr-q,Ubiquinol-cytochrome c reductase ubiquinone-binding,LTR
seccl,Secretory chloride,LTR
qil1,,DNA/RC
asrna:cr45171,antisense,DNA/RC
aps,Aps,DNA/RC
fad2,,LINE
cg32079,,LINE
mrpl2,mitochondrial ribosomal protein,DNA/RC
ufd1,Ubiquitin fusion-degradation,DNA/RC
napi-iii,Na[+]-dependent inorganic phosphate cotransporter type,DNA/RC
irsp53,Insulin receptor substrate 53,LINE/CR1
lncrna:cr43989,long non-coding,DNA
alg10,ALG10,DNA
wls,,DNA
adck5,aarF domain containing kinase,DNA
cg14142,,DNA/RC
glcat-p,Glucuronyltransferase,DNA/RC
plod,procollagen lysyl,DNA/RC
cg7607,,LTR/Gypsy
nkt,,LTR/Gypsy
ube3a,Ubiquitin protein ligase,LTR/Gypsy
cg7600,,LINE/CR1
cg42671,,LINE/CR1
lncrna:cr44361,long non-coding,DNA
lncrna:cr46240,long non-coding,DNA
lncrna:cr45251,long non-coding,LINE/I
cg6163,,LINE/I
lncrna:cr45036,long non-coding,DNA
lncrna:cr42755,long non-coding,DNA
cg11726,,DNA/RC
cg44362,,DNA/RC
lncrna:cr44363,long non-coding,DNA
cg7560,,DNA
lncrna:cr44548,long non-coding,DNA/RC
lncrna:cr44549,long non-coding,DNA/RC
cg7551,,DNA/P
fum3,Fumarase,LTR
vha16-3,Vacuolar H[+] ATPase 16kD subunit,DNA
vha16-2,Vacuolar H[+] ATPase 16kD subunit,DNA
asrna:cr46049,antisense,DNA
cg11714,dicistronic,DNA/P
fuca,,DNA/P
mir-4968,mir-4968 stem,LTR
rt,rotated,LTR/Gypsy
lncrna:cr45442,long non-coding,DNA/RC
lncrna:cr45672,long non-coding,DNA/RC
lncrna:cr45443,long non-coding,DNA/RC
lncrna:cr45671,long non-coding,DNA/RC
cg7368,,LTR/Gypsy
lncrna:cr46414,long non-coding,DNA/RC
cg14137,,DNA/RC
duba,Deubiquitinating enzyme,DNA/RC
muc68ca,Mucin,DNA/RC
akr1b,Aldo-keto reductase,LINE/I
cg6083,,LINE/I
pcid2,PCI domain-containing protein,LINE/I
apt1,Acyl-protein thioesterase,LINE/I
cg32085,,DNA
lncrna:cr45881,long non-coding,DNA
lncrna:cr45880,long non-coding,DNA
lncrna:cr45883,long non-coding,DNA
asrna:cr45882,antisense,DNA
lncrna:cr45884,long non-coding,DNA
sugb,Sugar,DNA
asrna:cr45885,antisense,DNA
pldn,,DNA
cg14135,,DNA
lncrna:cr43887,long non-coding,DNA
dph1,Diphthamide biosynthesis,DNA
dnai2,dynein%2C axonemal%2C intermediate chain,DNA
cg11658,,DNA
ccdc56,Coiled-coil domain containing,LINE
mttfb1,Mitochondrial Transcription Factor,LINE
crim,,LINE
pi3k68d,Phosphatidylinositol 3-kinase,LTR/Gypsy
twy,,LTR/Gypsy
cg10907,,LTR/Gypsy
klp68d,Kinesin-like protein at,LTR/Gypsy
gcat,Glycine,LTR/Gypsy
trna:gln-ttg-1-1,,DNA
cubn2,Cubilin,DNA
cg32095,,DNA/RC
rpl10ab,Ribosomal protein,DNA/RC
cg11597,,DNA/RC
cg5946,,DNA/RC
cg5235,,DNA/RC
tasp1,Taspase,DNA/RC
cg13075,,DNA/RC
mbs,Myosin binding,DNA/RC
lncrna:cr43951,long non-coding,LTR
diap1,Death-associated inhibitor of apoptosis,LTR
cg5895,,DNA/P
notum,,DNA/P
lncrna:cr43949,long non-coding,DNA/MAVERICK
lncrna:cr45998,long non-coding,DNA/MAVERICK
lncrna:cr43950,long non-coding,DNA/MAVERICK
mib1,mind bomb,DNA/RC
mrps31,mitochondrial ribosomal protein,DNA
hzg,,DNA
lncrna:cr44050,long non-coding,LTR
lncrna:cr44051,long non-coding,LTR
meru,,DNA
mir-263b,mir-263b stem,DNA
cg15715,,DNA/P
cg18081,,DNA/P
cg12713,,DNA/P
dbo,,DNA/P
dcp2,Decapping protein,DNA/RC
ckiialpha-i1,CKII-alpha subunit,DNA/RC
fwe,,LTR/Gypsy
lncrna:cr46197,long non-coding,LTR/COPIA
comm,,DNA
cg42570,,LTR/Gypsy
comm2,,DNA/RC
cg34451,,DNA/RC
cg34452,,DNA/RC
pgant8,Polypeptide N-Acetylgalactosaminyltransferase,DNA/RC
eig71ek,,DNA
eig71ed,Ecdysone-induced gene,DNA
comm3,,LTR
lncrna:cr45977,long non-coding,LTR
phs,,LTR
cg13449,,DNA/RC
cg7650,,DNA/RC
rhogap71e,Rho GTPase activating protein at,DNA/MITE
cg43248,,LINE/L2
obst-h,,LINE/L2
cg42728,,LINE/L2
cg42729,,LINE/L2
cg33985,,LINE/L2
cg33986,,LINE/L2
cg7945,,LINE/L2
yellow-k,,LINE/L2
asrna:cr43159,antisense,LINE/L2
mex1,midgut expression,DNA
cg13454,,DNA
msra,Methionine sulfoxide reductase,DNA
gdl,,DNA/RC
gdl-orf39,dicistronic,LTR/Gypsy
z600,,LTR/Gypsy
cg7841,,LTR/Gypsy
cg7857,,LTR/COPIA
cg7272,,LTR/COPIA
cg7275,,LTR/COPIA
cg7276,,LTR/COPIA
cg13455,,LTR/COPIA
cg12355,,LTR/COPIA
lncrna:cr43625,long non-coding,DNA
cg33259,,LTR/COPIA
ucp4b,Uncoupling protein,LTR/COPIA
asrna:cr43465,antisense,LTR/COPIA
lncrna:cr46213,long non-coding,DNA/RC
cg7011,,LINE
cg6878,,LINE
prp31,Pre-mRNA processing factor,LINE
msh6,,LINE
cep135,Centrosomal protein,DNA/RC
cg16959,,DNA/RC
asrna:cr45682,antisense,DNA/RC
cg10657,,DNA/RC
cg10638,,DNA/RC
asrna:cr43868,antisense,DNA/RC
eif2beta,eukaryotic translation initiation factor 2 subunit,LTR
nst,,LTR
tsf2,Transferrin,LTR
pmm2,Phosphomannomutase type,LTR
cg4069,,LTR
sowah,,LTR
lncrna:cr43612,long non-coding,LTR
ara,,DNA
caup,,DNA
lncrna:cr32111,long non-coding,DNA
lncrna:cr43431,long non-coding,DNA/RC
lncrna:cr44553,long non-coding,DNA/RC
lncrna:cr44552,long non-coding,DNA/RC
smd1,Small ribonucleoprotein particle protein,LINE
ptp69d,Protein tyrosine phosphatase,LINE
cg32112,,LINE
vps13d,Vacuolar protein sorting,LTR/COPIA
hip1,Huntingtin interacting protein,LTR/COPIA
cg10969,,LTR/COPIA
cg17666,,LTR/COPIA
atg1,Autophagy-related,DNA/P
cg42709,,DNA/P
sap130,Sin3A-associated protein,DNA/MITE
asrna:cr46251,antisense,DNA/MITE
nebu,,DNA
cg10948,,DNA
wbp2,WW domain binding protein,DNA
ent3,Equilibrative nucleoside transporter,DNA/RC
cg14073,,DNA
lncrna:cr45388,long non-coding,DNA
asrna:cr45912,antisense,DNA
mir-315,mir-315 stem,DNA
cg6865,,DNA
cg3961,,DNA/MITE
nijb,Ninjurin,DNA/MITE
cg3902,,DNA/MITE
snorna:psi28s-2566,,DNA/MITE
rpl26,Ribosomal protein,DNA/MITE
